planta	fruto	circularidad.polar	circularidad.ecuatorial	area.polar	area.ecuatorial	perimetro.polar	perimetro.ecuatorial	diametro.polar.a	diametro.polar.b	diametro.ecuatorial.a	diametro.ecuatorial.b
56123	5	0.817	0.661	0.699	0.766	3.281	3.816	0.961	0.977	0.938	0.789
56123	6	0.811	0.884	0.708	0.521	3.314	2.723	0.843	0.862	0.79	0.781
56123	7	0.79	0.566	0.605	0.537	3.102	3.452	0.864	0.834	0.805	0.726
56123	8	0.89	0.875	0.598	0.496	2.906	2.668	0.828	0.854	0.736	0.785
56123	9	0.889	0.886	0.695	0.58	3.135	2.868	0.886	0.861	0.79	0.831
56123	10	0.756	0.764	0.555	0.477	3.038	2.801	0.821	0.728	0.72	0.786
56123	11	0.763	0.899	0.305	0.368	2.24	2.266	0.627	0.563	0.646	0.639
56123	12	0.756	0.884	0.274	0.31	2.134	2.101	0.554	0.554	0.62	0.616
56123	13	0.661	0.872	0.427	0.434	2.848	2.5	0.872	0.756	0.657	0.748
56123	14	0.895	0.841	0.436	0.454	2.475	2.606	0.872	0.799	0.717	0.777
56123	15	0.866	0.786	0.667	0.667	3.111	3.267	0.903	0.876	0.808	0.763
56123	16	0.409	0.888	0.622	0.504	4.371	2.671	0.846	0.866	0.79	0.733
56123	17	0.903	0.885	0.558	0.45	2.787	2.529	0.803	0.827	0.744	0.701
56123	18	0.897	0.887	0.625	0.524	2.96	2.724	0.9	0.808	0.836	0.727
56123	19	0.864	0.871	0.62	0.511	3.003	2.715	0.895	0.788	0.733	0.777
56123	20	0.81	0.663	0.665	0.544	3.213	3.211	0.77	0.893	0.762	0.711
56123	21	0.75	0.875	0.306	0.353	2.265	2.25	0.602	0.563	0.671	0.652
56123	22	0.615	0.885	0.427	0.45	2.954	2.527	0.692	0.702	0.736	0.715
56123	23	0.588	0.896	0.363	0.398	2.783	2.361	0.778	0.744	0.706	0.654
56123	24	0.869	0.787	0.531	0.526	2.771	2.898	0.892	0.88	0.776	0.741
56123	25	0.809	0.741	0.503	0.527	2.797	2.989	0.805	0.765	0.697	0.724
56123	26	0.792	0.905	0.427	0.304	2.602	2.056	0.623	0.636	0.57	0.615
56123	27	0.61	0.871	0.602	0.522	3.521	2.745	0.773	0.881	0.731	0.821
56123	28	0.879	0.884	0.4	0.34	2.391	2.2	0.672	0.671	0.58	0.6
56123	29	0.634	0.84	0.482	0.386	3.092	2.402	0.678	0.679	0.621	0.688
56123	30	0.756	0.785	0.565	0.456	3.063	2.703	0.754	0.68	0.624	0.668
56126	1	0.738	0.883	0.4	0.377	2.611	2.315	0.673	0.685	0.657	0.704
56126	2	0.898	0.88	0.416	0.376	2.412	2.317	0.689	0.665	0.659	0.675
56126	3	0.875	0.875	0.578	0.531	2.879	2.762	0.761	0.825	0.775	0.794
56126	4	0.885	0.87	0.493	0.47	2.645	2.606	0.697	0.753	0.743	0.723
56126	5	0.861	0.848	0.456	0.44	2.58	2.554	0.685	0.621	0.682	0.655
56126	6	0.876	0.879	0.489	0.483	2.649	2.628	0.727	0.754	0.734	0.72
56126	7	0.883	0.872	0.467	0.473	2.578	2.611	0.75	0.648	0.738	0.743
56126	8	0.885	0.862	0.58	0.56	2.87	2.856	0.801	0.779	0.806	0.774
56126	9	0.886	0.878	0.528	0.523	2.736	2.735	0.786	0.777	0.781	0.768
56126	10	0.829	0.866	0.495	0.459	2.739	2.58	0.711	0.715	0.679	0.669
56126	11	0.851	0.705	0.513	0.471	2.752	2.898	0.737	0.761	0.744	0.731
56126	12	0.795	0.894	0.408	0.397	2.541	2.363	0.681	0.669	0.681	0.663
56126	13	0.831	0.822	0.402	0.375	2.465	2.395	0.681	0.681	0.662	0.672
56126	14	0.871	0.853	0.389	0.357	2.37	2.293	0.633	0.661	0.623	0.662
56126	15	0.887	0.775	0.483	0.461	2.614	2.733	0.698	0.713	0.71	0.682
56126	16	0.879	0.858	0.334	0.359	2.186	2.292	0.613	0.625	0.629	0.655
56126	17	0.894	0.857	0.423	0.449	2.439	2.566	0.707	0.676	0.721	0.75
56126	18	0.879	0.778	0.458	0.457	2.56	2.718	0.73	0.656	0.748	0.708
56126	19	0.819	0.207	0.434	0.305	2.58	4.306	0.633	0.742	0.75	0.711
56126	20	0.884	0.826	0.479	0.45	2.609	2.616	0.707	0.711	0.693	0.693
56126	21	0.901	0.825	0.402	0.374	2.368	2.386	0.686	0.631	0.686	0.689
56126	22	0.885	0.86	0.334	0.323	2.177	2.172	0.611	0.623	0.624	0.634
56126	23	0.885	0.844	0.509	0.482	2.689	2.68	0.749	0.737	0.735	0.752
56126	24	0.888	0.859	0.458	0.442	2.546	2.544	0.717	0.657	0.722	0.704
56126	25	0.675	0.793	0.534	0.41	3.154	2.55	0.614	0.693	0.692	0.632
56126	26	0.907	0.855	0.441	0.439	2.473	2.542	0.699	0.723	0.72	0.723
56126	27	0.893	0.769	0.479	0.476	2.597	2.787	0.723	0.758	0.739	0.712
56126	28	0.873	0.824	0.532	0.525	2.767	2.828	0.762	0.762	0.756	0.77
56126	29	0.867	0.864	0.46	0.489	2.582	2.669	0.652	0.715	0.757	0.678
56126	30	0.777	0.858	0.477	0.472	2.778	2.631	0.68	0.691	0.689	0.761
56137	1	0.888	0.839	0.457	0.801	2.544	3.463	0.738	0.789	0.726	0.803
56137	2	0.874	0.86	0.451	0.735	2.545	3.278	0.769	0.733	0.706	0.744
56137	3	0.875	0.852	0.395	0.709	2.383	3.235	0.698	0.662	0.714	0.718
56137	4	0.814	0.856	0.619	1.038	3.092	3.903	0.85	0.856	0.84	0.878
56137	5	0.884	0.833	0.537	0.637	2.762	3.1	0.866	0.756	0.722	0.835
56137	6	0.8	0.798	0.434	0.558	2.61	2.964	0.694	0.694	0.675	0.763
56137	7	0.861	0.796	0.411	0.506	2.45	2.826	0.674	0.701	0.654	0.625
56137	8	0.787	0.607	0.419	0.572	2.586	3.442	0.657	0.686	0.691	0.657
56137	9	0.894	0.849	0.38	0.442	2.312	2.558	0.729	0.686	0.718	0.731
56137	10	0.89	0.862	0.371	0.419	2.288	2.471	0.65	0.686	0.657	0.722
56137	11	0.847	0.873	0.49	0.804	2.696	3.401	0.764	0.845	0.791	0.794
56137	12	0.892	0.811	0.386	0.648	2.333	3.169	0.667	0.744	0.677	0.726
56137	13	0.886	0.881	0.282	0.458	2.001	2.558	0.596	0.611	0.573	0.584
56137	14	0.819	0.861	0.447	0.766	2.618	3.343	0.759	0.693	0.751	0.744
56137	15	0.875	0.853	0.432	0.502	2.49	2.72	0.743	0.688	0.691	0.716
56137	16	0.838	0.864	0.351	0.383	2.296	2.36	0.605	0.674	0.635	0.539
56137	17	0.881	0.799	0.328	0.385	2.162	2.461	0.612	0.598	0.618	0.56
56137	18	0.881	0.827	0.434	0.495	2.489	2.742	0.758	0.747	0.764	0.761
56137	19	0.841	0.693	0.304	0.339	2.13	2.48	0.604	0.636	0.648	0.627
56137	20	0.894	0.845	0.399	0.424	2.368	2.511	0.718	0.69	0.693	0.715
56137	21	0.889	0.872	0.526	0.825	2.728	3.448	0.835	0.815	0.773	0.792
56137	22	0.877	0.895	0.533	0.819	2.763	3.391	0.845	0.835	0.778	0.814
56137	23	0.777	0.865	0.431	0.667	2.641	3.113	0.728	0.759	0.669	0.754
56137	24	0.745	0.893	0.609	0.957	3.205	3.67	0.856	0.835	0.863	0.851
56137	25	0.866	0.861	0.446	0.444	2.544	2.546	0.729	0.722	0.686	0.655
56137	26	0.777	0.856	0.406	0.466	2.563	2.614	0.708	0.681	0.665	0.665
56137	27	0.869	0.825	0.393	0.424	2.384	2.543	0.646	0.674	0.644	0.603
56137	28	0.893	0.663	0.282	0.289	1.991	2.342	0.586	0.614	0.566	0.611
56137	29	0.894	0.766	0.27	0.323	1.947	2.302	0.55	0.614	0.645	0.594
56137	30	0.902	0.83	0.378	0.441	2.295	2.583	0.657	0.679	0.708	0.725
56140	1	0.855	0.797	0.644	0.657	3.077	3.218	0.859	0.88	0.916	0.876
56140	2	0.897	0.805	0.425	0.436	2.44	2.61	0.708	0.729	0.722	0.723
56140	3	0.87	0.841	0.481	0.485	2.637	2.691	0.776	0.719	0.783	0.746
56140	4	0.815	0.859	0.465	0.455	2.676	2.581	0.755	0.719	0.691	0.726
56140	5	0.706	0.748	0.482	0.453	2.929	2.758	0.734	0.703	0.691	0.675
56140	6	0.837	0.869	0.43	0.45	2.54	2.55	0.644	0.718	0.722	0.739
56140	7	0.82	0.883	0.37	0.367	2.38	2.283	0.611	0.648	0.671	0.591
56140	8	0.881	0.872	0.473	0.479	2.598	2.626	0.699	0.709	0.718	0.737
56140	9	0.871	0.885	0.495	0.479	2.672	2.61	0.745	0.713	0.758	0.675
56140	10	0.732	0.727	0.387	0.371	2.576	2.533	0.615	0.655	0.606	0.589
56140	11	0.901	0.805	0.449	0.473	2.501	2.718	0.729	0.771	0.764	0.734
56140	12	0.89	0.845	0.41	0.42	2.405	2.499	0.703	0.688	0.714	0.704
56140	13	0.855	0.843	0.386	0.402	2.382	2.447	0.636	0.729	0.732	0.679
56140	14	0.89	0.858	0.398	0.396	2.37	2.408	0.62	0.677	0.701	0.612
56140	15	0.856	0.835	0.421	0.436	2.488	2.56	0.672	0.677	0.689	0.654
56140	16	0.817	0.875	0.413	0.436	2.52	2.503	0.669	0.687	0.717	0.712
56140	17	0.78	0.881	0.398	0.426	2.533	2.465	0.651	0.691	0.687	0.719
56140	18	0.833	0.79	0.458	0.46	2.63	2.705	0.741	0.648	0.755	0.674
56140	19	0.892	0.879	0.489	0.47	2.625	2.591	0.703	0.724	0.685	0.758
56140	20	0.617	0.861	0.408	0.344	2.882	2.242	0.603	0.639	0.56	0.635
56140	21	0.895	0.879	0.355	0.367	2.233	2.29	0.635	0.646	0.691	0.653
56140	22	0.889	0.864	0.385	0.375	2.333	2.335	0.667	0.661	0.724	0.654
56140	23	0.873	0.607	0.471	0.454	2.606	3.064	0.729	0.703	0.719	0.762
56140	24	0.897	0.829	0.41	0.394	2.395	2.444	0.714	0.672	0.665	0.702
56140	25	0.832	0.817	0.443	0.454	2.586	2.643	0.646	0.724	0.706	0.75
56140	26	0.887	0.882	0.475	0.477	2.596	2.608	0.755	0.701	0.767	0.702
56140	27	0.812	0.88	0.37	0.392	2.395	2.367	0.69	0.556	0.691	0.672
56140	28	0.817	0.848	0.443	0.455	2.612	2.596	0.636	0.749	0.762	0.695
56140	29	0.874	0.881	0.429	0.41	2.482	2.419	0.687	0.651	0.717	0.626
56140	30	0.645	0.734	0.549	0.497	3.27	2.916	0.709	0.713	0.723	0.721
56172	1	0.828	0.879	0.418	0.4	2.52	2.392	0.672	0.673	0.712	0.71
56172	2	0.867	0.869	0.476	0.454	2.628	2.562	0.75	0.719	0.734	0.756
56172	3	0.881	0.891	0.434	0.419	2.488	2.432	0.711	0.669	0.74	0.663
56172	4	0.878	0.874	0.487	0.465	2.64	2.584	0.769	0.657	0.763	0.688
56172	5	0.607	0.689	0.587	0.56	3.489	3.197	0.777	0.727	0.76	0.756
56172	6	0.746	0.887	0.392	0.382	2.57	2.326	0.675	0.634	0.656	0.648
56172	7	0.873	0.883	0.341	0.367	2.216	2.287	0.66	0.589	0.678	0.636
56172	8	0.882	0.888	0.425	0.429	2.462	2.465	0.679	0.743	0.719	0.691
56172	9	0.829	0.888	0.339	0.352	2.267	2.23	0.638	0.604	0.629	0.645
56172	10	0.729	0.767	0.422	0.425	2.696	2.638	0.668	0.698	0.68	0.658
56172	11	0.845	0.832	0.446	0.43	2.575	2.548	0.742	0.7	0.737	0.709
56172	12	0.745	0.808	0.356	0.352	2.451	2.34	0.592	0.669	0.674	0.642
56172	13	0.695	0.852	0.43	0.433	2.787	2.528	0.735	0.649	0.742	0.69
56172	14	0.853	0.877	0.405	0.372	2.443	2.309	0.677	0.646	0.653	0.615
56172	15	0.797	0.606	0.417	0.441	2.564	3.023	0.642	0.649	0.642	0.686
56172	16	0.872	0.884	0.402	0.41	2.408	2.415	0.671	0.705	0.687	0.715
56172	17	0.89	0.841	0.341	0.356	2.195	2.306	0.611	0.66	0.625	0.672
56172	18	0.875	0.83	0.355	0.374	2.257	2.379	0.664	0.615	0.637	0.68
56172	19	0.821	0.866	0.435	0.451	2.58	2.557	0.675	0.739	0.667	0.765
56172	20	0.857	0.874	0.443	0.475	2.549	2.613	0.724	0.709	0.699	0.73
56172	21	0.898	0.877	0.321	0.297	2.119	2.064	0.584	0.603	0.579	0.62
56172	22	0.837	0.897	0.373	0.355	2.367	2.23	0.653	0.673	0.652	0.675
56172	23	0.718	0.857	0.411	0.4	2.683	2.422	0.692	0.642	0.717	0.702
56172	24	0.722	0.85	0.363	0.34	2.515	2.241	0.61	0.657	0.603	0.647
56172	25	0.825	0.831	0.446	0.426	2.606	2.537	0.657	0.723	0.662	0.709
56172	26	0.829	0.877	0.46	0.465	2.642	2.581	0.684	0.786	0.707	0.732
56172	27	0.794	0.888	0.41	0.419	2.547	2.435	0.72	0.705	0.665	0.719
56172	28	0.81	0.863	0.42	0.43	2.552	2.502	0.716	0.686	0.692	0.73
56172	29	0.825	0.868	0.434	0.437	2.571	2.515	0.705	0.724	0.711	0.699
56172	30	0.802	0.769	0.461	0.425	2.686	2.636	0.698	0.758	0.692	0.625
56173	1	0.888	0.636	0.607	0.377	2.93	2.729	0.836	0.851	0.832	0.829
56173	2	0.885	0.695	0.481	0.28	2.615	2.25	0.757	0.716	0.74	0.744
56173	3	0.869	0.883	0.667	0.641	3.106	3.022	0.91	0.845	0.875	0.835
56173	4	0.879	0.88	0.591	0.56	2.907	2.829	0.81	0.798	0.805	0.785
56173	5	0.579	0.6	0.531	0.531	3.394	3.335	0.718	0.699	0.724	0.671
56173	6	0.891	0.872	0.612	0.553	2.938	2.822	0.769	0.805	0.8	0.907
56173	7	0.767	0.905	0.638	0.553	3.234	2.772	0.828	0.769	0.869	0.8
56173	8	0.841	0.872	0.668	0.612	3.16	2.97	0.828	0.806	0.932	0.854
56173	9	0.889	0.89	0.561	0.499	2.816	2.654	0.726	0.774	0.842	0.78
56173	10	0.9	0.736	0.539	0.497	2.744	2.914	0.726	0.711	0.781	0.751
56173	11	0.876	0.842	0.498	0.475	2.674	2.663	0.71	0.786	0.783	0.731
56173	12	0.861	0.724	0.539	0.504	2.806	2.958	0.763	0.822	0.805	0.769
56173	13	0.873	0.858	0.493	0.497	2.664	2.698	0.757	0.757	0.768	0.767
56173	14	0.816	0.855	0.586	0.568	3.003	2.891	0.81	0.78	0.853	0.782
56173	15	0.559	0.653	0.702	0.665	3.971	3.578	0.886	0.863	0.82	0.84
56173	16	0.847	0.864	0.57	0.523	2.907	2.758	0.763	0.774	0.787	0.882
56173	17	0.757	0.879	0.441	0.377	2.706	2.322	0.693	0.65	0.717	0.711
56173	18	0.622	0.875	0.506	0.478	3.197	2.619	0.747	0.676	0.778	0.785
56173	19	0.807	0.867	0.575	0.518	2.993	2.741	0.763	0.758	0.801	0.846
56173	20	0.885	0.793	0.631	0.613	2.993	3.117	0.736	0.812	0.852	0.892
56173	21	0.888	0.777	0.503	0.525	2.67	2.914	0.786	0.716	0.763	0.812
56173	22	0.858	0.788	0.461	0.48	2.599	2.766	0.716	0.763	0.748	0.778
56173	23	0.833	0.792	0.574	0.595	2.943	3.074	0.804	0.81	0.803	0.903
56173	24	0.882	0.84	0.414	0.419	2.429	2.504	0.704	0.663	0.687	0.729
56173	25	0.728	0.622	0.554	0.587	3.092	3.444	0.798	0.757	0.781	0.785
56173	26	0.868	0.845	0.6	0.557	2.948	2.878	0.72	0.828	0.825	0.885
56173	27	0.813	0.821	0.54	0.478	2.888	2.704	0.715	0.779	0.717	0.803
56173	28	0.763	0.793	0.537	0.518	2.972	2.866	0.736	0.763	0.833	0.778
56173	29	0.775	0.834	0.584	0.551	3.077	2.88	0.763	0.747	0.836	0.848
56173	30	0.781	0.676	0.579	0.585	3.052	3.3	0.731	0.726	0.826	0.806
56176	1	0.856	0.847	0.85	0.468	3.534	2.636	0.736	0.743	0.723	0.792
56176	2	0.791	0.817	0.93	0.484	3.844	2.728	0.765	0.772	0.776	0.776
56176	3	0.848	0.795	0.927	0.504	3.706	2.822	0.791	0.717	0.738	0.743
56176	4	0.884	0.656	0.914	0.553	3.604	3.254	0.808	0.706	0.728	0.769
56176	5	0.878	NA	0.546	NA	2.797	NA	0.827	0.767	0.586	0.859
56176	6	0.891	0.773	0.62	0.612	2.958	3.155	0.867	0.814	0.772	0.879
56176	7	0.899	0.826	0.506	0.545	2.659	2.879	0.822	0.774	0.711	0.807
56176	8	0.889	0.852	0.545	0.561	2.775	2.876	0.752	0.804	0.639	0.748
56176	9	0.885	0.893	0.556	0.561	2.809	2.81	0.756	0.78	0.684	0.759
56176	10	0.693	0.825	0.567	0.563	3.207	2.928	0.808	0.774	0.755	0.824
56176	11	0.789	0.868	0.787	0.425	3.541	2.482	0.732	0.703	0.708	0.738
56176	12	0.779	0.797	0.848	0.474	3.699	2.732	0.765	0.715	0.767	0.735
56176	13	0.815	0.709	0.938	0.504	3.803	2.989	0.815	0.752	0.727	0.793
56176	14	0.874	0.808	0.94	0.509	3.675	2.814	0.782	0.698	0.725	0.783
56176	15	0.894	0.653	0.541	0.521	2.757	3.168	0.805	0.768	0.778	0.803
56176	16	0.893	0.659	0.505	0.472	2.664	3	0.787	0.762	0.757	0.799
56176	17	0.896	0.855	0.396	0.445	2.357	2.556	0.666	0.698	0.697	0.748
56176	18	0.831	0.875	0.502	0.54	2.755	2.785	0.777	0.738	0.784	0.735
56176	19	0.333	0.813	0.356	0.434	3.664	2.591	0.684	0.672	0.693	0.705
56176	20	0.885	0.877	0.501	0.525	2.668	2.742	0.732	0.722	0.777	0.749
56176	21	0.883	0.895	0.807	0.429	3.388	2.455	0.7	0.752	0.712	0.724
56176	22	0.892	0.895	0.806	0.399	3.37	2.369	0.721	0.702	0.703	0.682
56176	23	0.854	0.876	0.696	0.379	3.199	2.331	0.639	0.668	0.653	0.679
56176	24	0.847	0.806	0.712	0.394	3.25	2.479	0.682	0.637	0.626	0.683
56176	25	0.778	0.699	0.945	0.375	3.907	2.598	0.732	0.662	0.726	0.704
56176	26	0.897	0.811	0.44	0.406	2.482	2.508	0.725	0.644	0.775	0.815
56176	27	0.895	0.768	0.421	0.466	2.432	2.762	0.768	0.717	0.625	0.717
56176	28	0.878	0.762	0.416	0.424	2.441	2.646	0.686	0.675	0.657	0.699
56176	29	0.895	0.845	0.342	0.385	2.189	2.394	0.613	0.601	0.621	0.666
56176	30	0.664	0.823	0.405	0.42	2.767	2.533	0.678	0.665	0.675	0.674
56195	1	0.541	0.834	0.366	0.23	2.916	1.861	0.684	0.675	0.651	0.688
56195	2	0.858	0.829	0.373	0.215	2.339	1.805	0.693	0.64	0.656	0.667
56195	3	0.855	0.799	0.408	0.24	2.449	1.941	0.728	0.64	0.714	0.682
56195	4	0.847	0.814	0.365	0.205	2.329	1.78	0.667	0.614	0.615	0.599
56195	5	0.865	0.843	0.412	0.379	2.446	2.378	0.705	0.646	0.687	0.687
56195	6	0.893	0.749	0.311	0.286	2.09	2.19	0.601	0.564	0.626	0.583
56195	7	0.883	0.779	0.509	0.461	2.691	2.726	0.772	0.765	0.72	0.766
56195	8	0.885	0.819	0.49	0.504	2.637	2.781	0.677	0.772	0.777	0.745
56195	9	0.887	0.872	0.427	0.465	2.46	2.59	0.762	0.616	0.76	0.697
56195	10	0.89	0.802	0.365	0.365	2.27	2.39	0.619	0.626	0.642	0.601
56195	11	0.65	0.866	0.45	0.278	2.947	2.01	0.746	0.711	0.734	0.74
56195	12	0.797	0.715	0.365	0.221	2.4	1.969	0.667	0.667	0.651	0.667
56195	13	0.873	0.811	0.344	0.188	2.226	1.706	0.649	0.632	0.641	0.573
56195	14	0.83	0.89	0.395	0.239	2.447	1.838	0.649	0.649	0.678	0.668
56195	15	0.847	0.603	0.442	0.425	2.559	2.976	0.691	0.743	0.738	0.724
