planta	fruto	circularidad.polar	circularidad.ecuatorial	area.polar	area.ecuatorial	perimetro.polar	perimetro.ecuatorial	diametro.polar.a	diametro.polar.b	diametro.ecuatorial.a	diametro.ecuatorial.b
56195	16	0.887	0.692	0.358	0.321	2.254	2.413	0.676	0.616	0.673	0.635
56195	17	0.887	0.77	0.461	0.469	2.554	2.765	0.698	0.72	0.757	0.753
56195	18	0.854	0.788	0.432	0.434	2.52	2.629	0.735	0.677	0.737	0.738
56195	19	0.854	0.802	0.566	0.583	2.886	3.021	0.786	0.786	0.856	0.806
56195	20	0.896	0.876	0.422	0.4	2.431	2.397	0.692	0.655	0.71	0.605
56195	21	0.863	0.855	0.531	0.33	2.781	2.203	0.825	0.798	0.773	0.784
56195	22	0.862	0.722	0.372	0.223	2.33	1.967	0.675	0.667	0.677	0.647
56195	23	0.873	0.758	0.468	0.279	2.594	2.149	0.737	0.711	0.729	0.708
56195	24	0.737	0.828	0.432	0.232	2.713	1.877	0.711	0.711	0.644	0.652
56195	25	0.885	0.752	0.444	0.412	2.511	2.625	0.698	0.713	0.734	0.706
56195	26	0.875	0.788	0.437	0.446	2.506	2.667	0.728	0.668	0.751	0.707
56195	27	0.874	0.655	0.531	0.501	2.764	3.102	0.795	0.757	0.796	0.72
56195	28	0.895	0.793	0.465	0.504	2.557	2.825	0.772	0.699	0.746	0.806
56195	29	0.845	0.802	0.445	0.437	2.574	2.616	0.706	0.684	0.699	0.758
56195	30	0.765	0.73	0.496	0.459	2.852	2.809	0.699	0.75	0.717	0.701
56197	1	0.744	0.827	0.414	0.511	2.644	2.788	0.732	0.717	0.773	0.818
56197	2	0.794	0.879	0.341	0.471	2.323	2.594	0.629	0.65	0.759	0.75
56197	3	0.722	0.827	0.488	0.59	2.915	2.993	0.715	0.715	0.816	0.88
56197	4	0.625	0.751	0.616	0.662	3.52	3.328	0.694	0.737	0.748	0.826
56197	5	0.752	0.869	0.523	0.515	2.958	2.729	0.694	0.694	0.767	0.815
56197	6	0.611	0.875	0.653	0.452	3.666	2.547	0.585	0.661	0.739	0.766
56197	7	0.726	0.876	0.408	0.439	2.659	2.511	0.633	0.544	0.758	0.765
56197	8	0.714	0.885	0.566	0.571	3.155	2.848	0.722	0.689	0.841	0.915
56197	9	0.794	0.884	0.355	0.389	2.372	2.35	0.522	0.556	0.679	0.774
56197	10	0.71	0.797	0.542	0.573	3.098	3.006	0.733	0.678	0.798	0.846
56197	11	0.758	0.889	0.309	0.452	2.262	2.529	0.631	0.64	0.701	0.766
56197	12	0.76	0.889	0.281	0.407	2.156	2.399	0.521	0.585	0.689	0.711
56197	13	0.785	0.88	0.334	0.433	2.311	2.486	0.609	0.618	0.741	0.699
56197	14	0.642	0.784	0.554	0.621	3.292	3.154	0.695	0.694	0.775	0.83
56197	15	0.736	0.882	0.554	0.487	3.078	2.633	0.706	0.717	0.811	0.798
56197	16	0.706	0.869	0.563	0.435	3.167	2.508	0.619	0.667	0.735	0.745
56197	17	0.644	0.9	0.342	0.362	2.584	2.246	0.556	0.544	0.642	0.701
56197	18	0.739	0.887	0.382	0.432	2.548	2.474	0.589	0.578	0.739	0.755
56197	19	0.715	0.9	0.441	0.498	2.785	2.638	0.667	0.644	0.779	0.835
56197	20	0.786	0.889	0.512	0.559	2.86	2.812	0.7	0.689	0.843	0.745
56197	21	0.699	0.901	0.366	0.43	2.564	2.448	0.609	0.685	0.742	0.676
56197	22	0.777	0.888	0.36	0.463	2.413	2.56	0.607	0.65	0.754	0.717
56197	23	0.666	0.85	0.396	0.478	2.734	2.659	0.662	0.629	0.766	0.713
56197	24	0.734	0.809	0.464	0.499	2.819	2.786	0.6	0.609	0.724	0.692
56197	25	0.686	0.659	0.531	0.547	3.12	3.23	0.678	0.643	0.783	0.756
56197	26	0.688	0.866	0.586	0.452	3.273	2.56	0.644	0.635	0.756	0.75
56197	27	0.701	0.902	0.496	0.458	2.982	2.526	0.611	0.6	0.775	0.75
56197	28	0.68	0.896	0.496	0.495	3.027	2.633	0.667	0.656	0.793	0.749
56197	29	0.764	0.896	0.407	0.422	2.587	2.432	0.578	0.571	0.735	0.59
56197	30	0.683	0.573	0.673	0.716	3.52	3.964	0.733	0.735	0.902	0.901
56327	1	0.889	0.865	0.419	0.471	2.433	2.617	0.737	0.774	0.797	0.705
56327	2	0.877	0.883	0.442	0.499	2.518	2.666	0.796	0.758	0.776	0.781
56327	3	0.895	0.865	0.307	0.383	2.076	2.358	0.669	0.566	0.659	0.687
56327	4	0.896	0.87	0.361	0.403	2.251	2.412	0.683	0.679	0.709	0.672
56327	5	0.593	0.845	0.43	0.506	3.018	2.742	0.731	0.704	0.74	0.732
56327	6	0.886	0.723	0.467	0.415	2.573	2.685	0.809	0.696	0.793	0.753
56327	7	0.898	0.722	0.43	0.37	2.453	2.537	0.738	0.679	0.756	0.738
56327	8	0.906	0.869	0.356	0.313	2.221	2.127	0.607	0.655	0.683	0.661
56327	9	0.887	0.9	0.476	0.42	2.597	2.421	0.746	0.754	0.774	0.736
56327	10	0.819	0.641	0.445	0.42	2.615	2.869	0.754	0.677	0.713	0.722
56327	11	0.892	0.85	0.372	0.442	2.291	2.556	0.704	0.72	0.746	0.725
56327	12	0.879	0.881	0.301	0.387	2.074	2.349	0.613	0.672	0.681	0.693
56327	13	0.879	0.862	0.374	0.467	2.311	2.609	0.72	0.71	0.747	0.742
56327	14	0.893	0.889	0.273	0.35	1.96	2.224	0.586	0.613	0.621	0.643
56327	15	0.852	0.884	0.274	0.34	2.01	2.198	0.597	0.575	0.59	0.586
56327	16	0.871	0.881	0.398	0.351	2.396	2.238	0.688	0.723	0.701	0.733
56327	17	0.853	0.855	0.427	0.353	2.508	2.277	0.735	0.711	0.694	0.727
56327	18	0.838	0.863	0.433	0.388	2.549	2.377	0.727	0.746	0.756	0.712
56327	19	0.851	0.896	0.406	0.354	2.449	2.228	0.669	0.7	0.693	0.699
56327	20	0.846	0.767	0.457	0.399	2.605	2.556	0.707	0.727	0.712	0.698
56327	21	0.888	0.889	0.277	0.312	1.981	2.101	0.618	0.586	0.61	0.621
56327	22	0.903	0.842	0.304	0.399	2.057	2.439	0.651	0.624	0.681	0.696
56327	23	0.905	0.815	0.371	0.427	2.27	2.566	0.704	0.704	0.709	0.731
56327	24	0.889	0.892	0.243	0.325	1.853	2.14	0.575	0.548	0.632	0.61
56327	25	0.859	0.789	0.354	0.435	2.276	2.631	0.683	0.656	0.679	0.718
56327	26	0.891	0.899	0.413	0.348	2.415	2.205	0.684	0.731	0.727	0.712
56327	27	0.876	0.886	0.387	0.335	2.355	2.178	0.688	0.688	0.689	0.707
56327	28	0.818	0.871	0.459	0.38	2.654	2.342	0.75	0.773	0.705	0.771
56327	29	0.781	0.822	0.398	0.337	2.532	2.269	0.708	0.696	0.69	0.669
56327	30	0.814	0.764	0.395	0.357	2.471	2.425	0.642	0.669	0.673	0.638
56328	1	0.897	0.885	0.448	0.469	2.506	2.581	0.79	0.734	0.805	0.681
56328	2	0.897	0.889	0.409	0.408	2.394	2.4	0.766	0.694	0.731	0.659
56328	3	0.888	0.878	0.528	0.563	2.734	2.838	0.786	0.859	0.877	0.708
56328	4	0.89	0.885	0.468	0.498	2.571	2.659	0.77	0.738	0.767	0.67
56328	5	0.798	0.774	0.398	0.44	2.503	2.673	0.685	0.661	0.709	0.665
56328	6	0.768	0.86	0.402	0.428	2.564	2.502	0.705	0.692	0.719	0.719
56328	7	0.784	0.83	0.425	0.417	2.609	2.512	0.701	0.735	0.725	0.676
56328	8	0.746	0.781	0.442	0.488	2.728	2.803	0.697	0.769	0.765	0.745
56328	9	0.886	0.892	0.416	0.421	2.429	2.437	0.74	0.615	0.719	0.673
56328	10	0.887	0.857	0.446	0.458	2.515	2.592	0.75	0.613	0.745	0.699
56328	11	0.878	0.851	0.377	0.385	2.322	2.385	0.706	0.706	0.698	0.687
56328	12	0.831	0.759	0.452	0.459	2.614	2.757	0.758	0.77	0.766	0.753
56328	13	0.89	0.883	0.34	0.344	2.19	2.213	0.653	0.669	0.665	0.622
56328	14	0.865	0.892	0.401	0.432	2.414	2.466	0.681	0.714	0.778	0.59
56328	15	0.79	0.848	0.447	0.49	2.668	2.695	0.694	0.726	0.767	0.703
56328	16	0.79	0.806	0.382	0.374	2.466	2.415	0.678	0.708	0.699	0.653
56328	17	0.586	0.719	0.464	0.512	3.154	2.992	0.784	0.716	0.76	0.83
56328	18	0.799	0.837	0.405	0.402	2.524	2.455	0.678	0.712	0.71	0.705
56328	19	0.865	0.863	0.407	0.405	2.432	2.429	0.689	0.686	0.623	0.719
56328	20	0.886	0.863	0.412	0.388	2.416	2.375	0.625	0.697	0.672	0.592
56328	21	0.749	0.798	0.348	0.366	2.418	2.402	0.665	0.714	0.682	0.609
56328	22	0.761	0.84	0.394	0.394	2.55	2.427	0.718	0.722	0.687	0.704
56328	23	0.768	0.788	0.392	0.395	2.534	2.509	0.706	0.734	0.692	0.708
56328	24	0.879	0.855	0.466	0.456	2.581	2.588	0.794	0.718	0.751	0.708
56328	25	0.856	0.79	0.362	0.411	2.304	2.556	0.605	0.673	0.714	0.671
56328	26	0.757	0.696	0.408	0.356	2.603	2.535	0.723	0.667	0.628	0.668
56328	27	0.786	0.817	0.337	0.326	2.321	2.238	0.625	0.652	0.582	0.668
56328	28	0.746	0.863	0.466	0.39	2.801	2.383	0.739	0.784	0.653	0.755
56328	29	0.784	0.823	0.412	0.398	2.569	2.465	0.701	0.712	0.653	0.679
56328	30	0.759	0.861	0.448	0.376	2.723	2.343	0.69	0.686	0.628	0.688
56337	1	0.875	0.874	0.478	0.466	2.619	2.588	0.755	0.765	0.756	0.729
56337	2	0.798	0.86	0.442	0.453	2.638	2.573	0.711	0.765	0.749	0.689
56337	3	0.902	0.896	0.545	0.533	2.754	2.735	0.843	0.776	0.802	0.769
56337	4	0.743	0.446	0.473	0.516	2.828	3.812	0.703	0.734	0.754	0.686
56337	5	0.798	0.716	0.425	0.464	2.586	2.854	0.691	0.726	0.708	0.749
56337	6	0.838	0.782	0.473	0.479	2.664	2.775	0.77	0.704	0.766	0.711
56337	7	0.887	0.885	0.418	0.264	2.434	1.936	0.724	0.71	0.676	0.77
56337	8	0.888	0.876	0.425	0.262	2.453	1.938	0.722	0.689	0.735	0.698
56337	9	0.872	0.889	0.489	0.297	2.654	2.047	0.674	0.806	0.795	0.65
56337	10	0.855	0.863	0.438	0.275	2.537	2.001	0.65	0.758	0.758	0.621
56337	11	0.849	0.876	0.346	0.349	2.262	2.238	0.632	0.686	0.646	0.64
56337	12	0.808	0.815	0.398	0.427	2.488	2.564	0.657	0.725	0.715	0.71
56337	13	0.642	0.813	0.47	0.465	3.033	2.682	0.726	0.789	0.703	0.736
56337	14	0.857	0.849	0.603	0.603	2.973	2.988	0.87	0.77	0.831	0.749
56337	15	0.825	0.651	0.384	0.413	2.419	2.823	0.66	0.71	0.754	0.7
56337	16	0.859	0.603	0.436	0.441	2.527	3.03	0.732	0.667	0.696	0.738
56337	17	0.893	0.889	0.445	0.261	2.502	1.921	0.699	0.718	0.71	0.724
56337	18	0.867	0.861	0.418	0.262	2.461	1.956	0.66	0.739	0.721	0.685
56337	19	0.883	0.824	0.531	0.343	2.749	2.288	0.821	0.743	0.822	0.785
56337	20	0.896	0.872	0.443	0.256	2.492	1.921	0.666	0.732	0.731	0.648
56337	21	0.775	0.842	0.398	0.421	2.541	2.506	0.735	0.652	0.716	0.696
56337	22	0.576	0.873	0.498	0.505	3.297	2.696	0.755	0.838	0.763	0.756
56337	23	0.734	0.889	0.434	0.47	2.725	2.578	0.745	0.711	0.744	0.748
56337	24	0.806	0.856	0.439	0.457	2.616	2.591	0.687	0.706	0.723	0.656
56337	25	0.897	0.873	0.374	0.382	2.288	2.346	0.62	0.704	0.673	0.679
56337	26	0.904	0.883	0.431	0.431	2.446	2.477	0.676	0.761	0.668	0.744
56337	27	0.883	0.878	0.368	0.239	2.289	1.848	0.709	0.62	0.672	0.693
56337	28	0.887	0.892	0.42	0.261	2.44	1.918	0.703	0.685	0.741	0.687
56337	29	0.898	0.889	0.382	0.237	2.312	1.829	0.69	0.625	0.67	0.709
56337	30	0.823	0.876	0.384	0.258	2.422	1.922	0.691	0.637	0.713	0.671
56628	1	0.905	0.879	0.574	0.553	2.824	2.811	0.744	0.791	0.796	0.839
56628	2	0.894	0.893	0.551	0.544	2.782	2.766	0.692	0.796	0.766	0.803
56628	3	0.892	0.891	0.554	0.545	2.793	2.773	0.78	0.739	0.761	0.819
56628	4	0.894	0.89	0.553	0.511	2.787	2.687	0.749	0.749	0.716	0.698
56628	5	0.776	0.704	0.454	0.465	2.71	2.882	0.65	0.63	0.652	0.648
56628	6	0.895	0.869	0.48	0.524	2.596	2.754	0.781	0.749	0.792	0.784
56628	7	0.872	0.863	0.373	0.403	2.318	2.422	0.671	0.635	0.672	0.677
56628	8	0.887	0.866	0.42	0.433	2.439	2.507	0.713	0.734	0.729	0.697
56628	9	0.867	0.886	0.605	0.656	2.96	3.051	0.911	0.807	0.85	0.899
56628	10	0.83	0.765	0.516	0.555	2.795	3.019	0.775	0.723	0.713	0.776
56628	11	0.882	0.876	0.443	0.42	2.512	2.454	0.645	0.692	0.712	0.7
56628	12	0.84	0.217	0.534	0.422	2.826	4.941	0.723	0.744	0.709	0.814
56628	13	0.905	0.906	0.506	0.5	2.652	2.634	0.671	0.76	0.715	0.742
56628	14	0.89	0.901	0.506	0.475	2.673	2.573	0.713	0.713	0.732	0.704
56628	15	0.79	0.558	0.578	0.627	3.033	3.758	0.744	0.708	0.812	0.811
56628	16	0.871	0.825	0.394	0.403	2.382	2.478	0.677	0.713	0.753	0.667
56628	17	0.826	0.864	0.384	0.396	2.417	2.399	0.703	0.692	0.704	0.658
56628	18	0.854	0.795	0.489	0.524	2.684	2.876	0.765	0.791	0.816	0.781
56628	19	0.88	0.885	0.485	0.524	2.632	2.728	0.775	0.755	0.799	0.758
56628	20	0.882	0.678	0.488	0.537	2.636	3.157	0.734	0.781	0.78	0.729
56628	21	0.811	0.9	0.522	0.493	2.844	2.624	0.718	0.77	0.792	0.713
56628	22	0.864	0.89	0.506	0.492	2.713	2.637	0.77	0.682	0.797	0.744
56628	23	0.88	0.897	0.655	0.608	3.059	2.918	0.864	0.858	0.825	0.8
56628	24	0.883	0.892	0.494	0.456	2.65	2.536	0.703	0.692	0.793	0.692
56628	25	0.843	0.582	0.537	0.613	2.83	3.639	0.708	0.728	0.825	0.696
56628	26	0.841	0.854	0.366	0.389	2.339	2.393	0.687	0.65	0.67	0.661
56628	27	0.835	0.829	0.309	0.361	2.158	2.34	0.604	0.65	0.644	0.673
56628	28	0.862	0.877	0.33	0.39	2.194	2.364	0.619	0.619	0.68	0.676
56628	29	0.854	0.855	0.435	0.476	2.532	2.645	0.692	0.755	0.758	0.725
56628	30	0.582	0.669	0.621	0.658	3.661	3.517	0.827	0.776	0.813	0.816
56675	1	0.776	0.739	0.278	0.298	2.119	2.251	0.538	0.572	0.463	0.504
56675	2	0.793	0.815	0.31	0.356	2.216	2.343	0.643	0.595	0.539	0.53
56675	3	0.833	0.812	0.331	0.368	2.235	2.387	0.641	0.629	0.597	0.506
56675	4	0.76	0.744	0.334	0.413	2.35	2.64	0.664	0.595	0.586	0.549
56675	5	0.599	0.444	0.397	0.603	2.887	4.131	0.607	0.572	0.519	0.569
56675	6	0.687	0.586	0.415	0.428	2.755	3.03	0.56	0.544	0.551	0.511
56675	7	0.789	0.827	0.345	0.366	2.345	2.358	0.481	0.535	0.489	0.501
56675	8	0.745	0.776	0.358	0.365	2.455	2.434	0.519	0.566	0.537	0.514
56675	9	0.755	0.808	0.427	0.419	2.666	2.552	0.583	0.604	0.558	0.573
56675	10	0.683	0.548	0.464	0.466	2.92	3.269	0.583	0.561	0.558	0.559
56675	11	0.791	0.759	0.246	0.281	1.976	2.158	0.481	0.549	0.482	0.482
56675	12	0.755	0.817	0.316	0.321	2.294	2.221	0.618	0.607	0.533	0.462
56675	13	0.8	0.812	0.305	0.366	2.19	2.379	0.584	0.664	0.565	0.58
56675	14	0.772	0.769	0.318	0.405	2.275	2.571	0.561	0.623	0.579	0.552
56675	15	0.649	0.817	0.463	0.513	2.992	2.809	0.641	0.675	0.647	0.598
56675	16	0.74	0.76	0.324	0.322	2.344	2.307	0.457	0.45	0.51	0.477
56675	17	0.745	0.699	0.334	0.334	2.371	2.45	0.535	0.519	0.523	0.471
56675	18	0.663	0.776	0.337	0.364	2.527	2.429	0.558	0.496	0.565	0.541
56675	19	0.662	0.81	0.418	0.401	2.817	2.493	0.604	0.583	0.555	0.582
56675	20	0.756	0.709	0.441	0.455	2.706	2.84	0.54	0.561	0.532	0.579
56675	21	0.781	0.726	0.399	0.445	2.532	2.775	0.698	0.641	0.577	0.615
56675	22	0.759	0.717	0.287	0.315	2.179	2.351	0.572	0.549	0.457	0.524
56675	23	0.778	0.756	0.274	0.318	2.105	2.301	0.561	0.572	0.508	0.565
56675	24	0.765	0.743	0.3	0.352	2.219	2.442	0.572	0.561	0.533	0.544
56675	25	0.686	0.762	0.443	0.574	2.85	3.076	0.629	0.641	0.622	0.659
56675	26	0.725	0.7	0.357	0.35	2.49	2.508	0.481	0.481	0.471	0.508
56675	27	0.782	0.698	0.281	0.284	2.124	2.263	0.45	0.434	0.449	0.442
56675	28	0.726	0.756	0.445	0.412	2.776	2.616	0.581	0.612	0.558	0.583
56675	29	0.761	0.739	0.375	0.367	2.49	2.499	0.496	0.55	0.511	0.558
56675	30	0.769	0.615	0.632	0.618	3.215	3.554	0.637	0.637	0.62	0.598
56778	1	0.819	0.866	0.465	0.395	2.672	2.394	0.747	0.736	0.722	0.729
56778	2	0.89	0.883	0.324	0.284	2.138	2.01	0.608	0.634	0.585	0.659
56778	3	0.86	0.54	0.483	0.338	2.658	2.804	0.789	0.703	0.764	0.717
56778	4	0.882	0.881	0.376	0.297	2.316	2.06	0.647	0.651	0.588	0.665
56778	5	0.551	0.882	0.48	0.363	3.307	2.273	0.647	0.737	0.69	0.664
56778	6	0.66	0.863	0.397	0.488	2.75	2.665	0.722	0.711	0.762	0.814
56778	7	0.805	0.864	0.36	0.435	2.371	2.514	0.667	0.703	0.719	0.721
56778	8	0.806	0.883	0.412	0.465	2.536	2.574	0.758	0.711	0.756	0.774
56778	9	0.821	0.813	0.414	0.472	2.518	2.701	0.742	0.707	0.703	0.805
56778	10	0.683	0.898	0.441	0.491	2.849	2.622	0.742	0.734	0.758	0.77
56778	11	0.878	0.885	0.415	0.374	2.436	2.305	0.724	0.694	0.756	0.71
56778	12	0.85	0.837	0.525	0.429	2.786	2.536	0.819	0.772	0.78	0.723
56778	13	0.878	0.834	0.597	0.546	2.924	2.869	0.871	0.823	0.846	0.875
56778	14	0.815	0.9	0.579	0.501	2.988	2.646	0.823	0.754	0.827	0.784
56778	15	0.709	0.878	0.668	0.517	3.442	2.721	0.853	0.832	0.819	0.772
56778	16	0.863	0.785	0.395	0.501	2.398	2.833	0.695	0.75	0.77	0.814
56778	17	0.865	0.724	0.402	0.474	2.417	2.869	0.754	0.703	0.788	0.763
56778	18	0.863	0.759	0.48	0.589	2.642	3.123	0.813	0.766	0.835	0.871
56778	19	0.84	0.86	0.42	0.52	2.508	2.756	0.789	0.699	0.798	0.798
56778	20	0.684	0.882	0.579	0.662	3.261	3.072	0.849	0.813	0.887	0.858
56778	21	0.866	0.864	0.545	0.466	2.812	2.603	0.81	0.784	0.737	0.862
56778	22	0.903	0.891	0.496	0.428	2.628	2.456	0.815	0.772	0.752	0.811
56778	23	0.874	0.87	0.505	0.461	2.695	2.58	0.81	0.763	0.774	0.838
56778	24	0.874	0.896	0.464	0.441	2.582	2.487	0.711	0.741	0.75	0.792
56778	25	0.788	0.887	0.404	0.336	2.537	2.183	0.655	0.655	0.642	0.675
56778	26	0.87	0.883	0.453	0.559	2.558	2.821	0.809	0.746	0.815	0.851
56778	27	0.873	0.816	0.481	0.607	2.629	3.058	0.829	0.77	0.828	0.89
56778	28	0.828	0.811	0.466	0.58	2.66	3	0.849	0.742	0.858	0.814
56778	29	0.884	0.818	0.403	0.477	2.394	2.708	0.754	0.711	0.782	0.764
56778	30	0.718	0.69	0.577	0.657	3.177	3.461	0.825	0.746	0.82	0.818
56939	1	0.901	0.899	0.435	0.481	2.462	2.593	0.731	0.678	0.747	0.688
56939	2	0.897	0.874	0.404	0.447	2.378	2.534	0.712	0.663	0.699	0.699
56939	3	0.889	0.882	0.328	0.368	2.152	2.291	0.578	0.643	0.607	0.672
56939	4	0.887	0.879	0.454	0.478	2.535	2.616	0.708	0.748	0.731	0.736
56939	5	0.711	0.889	0.389	0.418	2.622	2.431	0.65	0.572	0.607	0.699
56939	6	0.89	0.864	0.41	0.42	2.407	2.471	0.746	0.682	0.717	0.669
56939	7	0.884	0.896	0.412	0.448	2.42	2.507	0.753	0.662	0.744	0.738
56939	8	0.893	0.884	0.526	0.584	2.72	2.883	0.87	0.775	0.813	0.801
56939	9	0.895	0.904	0.446	0.504	2.502	2.647	0.747	0.722	0.765	0.796
56939	10	0.829	0.775	0.457	0.505	2.632	2.86	0.705	0.753	0.754	0.742
56939	11	0.812	0.856	0.481	0.533	2.729	2.796	0.765	0.748	0.752	0.768
56939	12	0.863	0.895	0.682	0.719	3.152	3.177	0.895	0.883	0.885	0.844
56939	13	0.9	0.879	0.485	0.53	2.603	2.753	0.722	0.792	0.751	0.789
56939	14	0.885	0.902	0.451	0.527	2.531	2.711	0.679	0.777	0.715	0.774
56939	15	0.877	0.899	0.489	0.543	2.647	2.755	0.728	0.683	0.768	0.763
56939	16	0.876	0.872	0.362	0.356	2.278	2.267	0.718	0.647	0.593	0.743
56939	17	0.854	0.872	0.467	0.519	2.622	2.735	0.822	0.692	0.796	0.773
56939	18	0.884	0.883	0.681	0.75	3.113	3.266	0.878	0.931	0.953	0.933
56939	19	0.888	0.885	0.521	0.583	2.716	2.878	0.719	0.867	0.865	0.807
56939	20	0.848	0.824	0.475	0.507	2.653	2.78	0.807	0.703	0.747	0.771
56939	21	0.881	0.904	0.564	0.647	2.836	2.999	0.801	0.85	0.823	0.854
56939	22	0.84	0.891	0.49	0.546	2.706	2.774	0.732	0.818	0.758	0.742
56939	23	0.746	0.87	0.522	0.57	2.966	2.869	0.789	0.816	0.774	0.795
56939	24	0.821	0.892	0.537	0.617	2.867	2.949	0.781	0.814	0.793	0.81
56939	25	0.865	0.879	0.519	0.542	2.746	2.783	0.786	0.728	0.693	0.765
56939	26	0.884	0.879	0.486	0.544	2.628	2.787	0.772	0.789	0.785	0.8
56939	27	0.887	0.879	0.439	0.48	2.494	2.619	0.725	0.755	0.778	0.735
56939	28	0.842	0.871	0.535	0.552	2.826	2.821	0.828	0.842	0.814	0.796
56939	29	0.873	0.871	0.538	0.572	2.783	2.872	0.828	0.794	0.789	0.845
56939	30	0.635	0.627	0.697	0.696	3.715	3.735	0.886	0.864	0.842	0.868
56995	1	0.894	0.837	0.398	0.42	2.366	2.51	0.746	0.678	0.743	0.67
56995	2	0.881	0.874	0.426	0.473	2.465	2.607	0.75	0.719	0.77	0.705
56995	3	0.889	0.89	0.646	0.669	3.022	3.073	0.897	0.856	0.904	0.826
56995	4	0.581	0.723	0.433	0.465	3.062	2.843	0.707	0.68	0.712	0.653
56995	5	0.885	0.885	0.34	0.403	2.197	2.393	0.663	0.711	0.693	0.677
56995	6	0.891	0.595	0.497	0.609	2.648	3.584	0.8	0.853	0.83	0.818
56995	7	0.896	0.857	0.394	0.338	2.35	2.225	0.676	0.734	0.667	0.702
56995	8	0.887	0.895	0.37	0.363	2.291	2.256	0.681	0.615	0.647	0.684
56995	9	0.889	0.89	0.609	0.548	2.934	2.781	0.828	0.839	0.793	0.812
56995	10	0.712	0.637	0.543	0.528	3.096	3.228	0.758	0.771	0.725	0.81
56995	11	0.702	0.857	0.261	0.41	2.163	2.452	0.7	0.73	0.708	0.687
56995	12	0.885	0.861	0.452	0.474	2.533	2.632	0.804	0.712	0.778	0.721
56995	13	0.894	0.87	0.45	0.464	2.514	2.591	0.748	0.777	0.776	0.731
56995	14	0.659	0.891	0.539	0.547	3.206	2.777	0.824	0.754	0.804	0.725
56995	15	0.88	0.885	0.451	0.557	2.538	2.811	0.814	0.777	0.777	0.816
56995	16	0.889	0.857	0.528	0.633	2.731	3.047	0.801	0.87	0.821	0.849
56995	17	0.879	0.861	0.313	0.294	2.116	2.072	0.633	0.646	0.63	0.669
56995	18	0.808	0.87	0.36	0.344	2.365	2.23	0.669	0.659	0.632	0.657
56995	19	0.813	0.871	0.494	0.467	2.764	2.594	0.748	0.79	0.735	0.78
56995	20	0.596	0.609	0.444	0.452	3.061	3.055	0.621	0.715	0.702	0.726
56995	21	0.902	0.892	0.365	0.358	2.255	2.246	0.668	0.711	0.671	0.662
56995	22	0.893	0.859	0.517	0.523	2.696	2.765	0.777	0.81	0.821	0.763
56995	23	0.898	0.807	0.495	0.494	2.632	2.775	0.762	0.795	0.773	0.736
56995	24	0.892	0.837	0.331	0.323	2.16	2.204	0.59	0.66	0.639	0.586
56995	25	0.77	0.834	0.309	0.372	2.246	2.366	0.669	0.655	0.693	0.658
56995	26	0.889	0.872	0.378	0.434	2.311	2.5	0.723	0.706	0.686	0.728
56995	27	0.892	0.881	0.309	0.261	2.086	1.93	0.584	0.63	0.631	0.636
56995	28	0.641	0.805	0.389	0.346	2.762	2.325	0.677	0.698	0.651	0.663
56995	29	0.896	0.877	0.364	0.339	2.26	2.204	0.652	0.634	0.64	0.646
56995	30	0.445	0.535	0.427	0.394	3.474	3.04	0.596	0.63	0.606	0.615
55395	1	0.835	0.876	0.485	0.525	2.702	2.744	0.844	0.739	0.775	0.803
55395	2	0.893	0.87	0.472	0.477	2.577	2.627	0.805	0.742	0.758	0.748
55395	3	0.903	0.887	0.427	0.371	2.439	2.294	0.745	0.713	0.726	0.717
55395	4	0.853	0.886	0.535	0.44	2.806	2.498	0.78	0.817	0.809	0.737
55395	5	0.716	0.876	0.727	0.499	3.571	2.677	0.869	0.822	0.863	0.811
55395	6	0.853	0.627	0.417	0.478	2.48	3.095	0.744	0.683	0.774	0.754
55395	7	0.858	0.885	0.526	0.492	2.775	2.643	0.807	0.748	0.791	0.696
55395	8	0.886	0.882	0.588	0.532	2.889	2.752	0.841	0.807	0.793	0.795
55395	9	0.599	0.887	0.582	0.45	3.494	2.526	0.769	0.718	0.733	0.752
55395	10	0.84	0.876	0.513	0.502	2.771	2.682	0.782	0.728	0.772	0.779
55395	11	0.879	0.886	0.438	0.469	2.501	2.579	0.712	0.758	0.719	0.739
55395	12	0.883	0.86	0.453	0.47	2.54	2.62	0.732	0.775	0.777	0.752
55395	13	0.874	0.882	0.432	0.382	2.491	2.333	0.75	0.707	0.721	0.735
55395	14	0.876	0.867	0.461	0.403	2.572	2.418	0.745	0.753	0.768	0.757
55395	15	0.813	0.849	0.606	0.428	3.059	2.518	0.741	0.788	0.77	0.76
55395	16	0.882	0.877	0.485	0.462	2.627	2.573	0.798	0.741	0.778	0.826
55395	17	0.899	0.888	0.426	0.409	2.441	2.407	0.711	0.705	0.639	0.755
55395	18	0.902	0.878	0.432	0.401	2.454	2.395	0.733	0.693	0.667	0.714
55395	19	0.857	0.883	0.563	0.493	2.873	2.649	0.821	0.751	0.78	0.758
55395	20	0.884	0.894	0.46	0.455	2.557	2.53	0.735	0.679	0.725	0.737
55395	21	0.903	0.911	0.337	0.374	2.164	2.272	0.664	0.596	0.677	0.641
55395	22	0.869	0.894	0.44	0.42	2.523	2.429	0.736	0.742	0.734	0.674
55395	23	0.83	0.877	0.438	0.399	2.574	2.391	0.735	0.684	0.728	0.728
